PilotNumber,FirstName,LastName,Identifier
1,Roman,Hugi,
2,Stefan,Zeberli,
3,David,Spildooren,
4,Christian,Kalousdian,
5,Michael,Abel,
6,Elisabeth,Kindermann-Schoen,
7,Thomas,Kindermann-Schoen,
8,Daniel,Kusternigg,
9,Helmut,Pöttler,
10,Werner,Schrank,
11,Andreas,Simoner,
12,Philippe,De Cock,
13,Maarten,Deleersnyder,
14,Thomas,Spildooren,
15,Steven,Vlegels,
16,Bojan,Kugler,
18,Tomas,Haban,
19,Jan,Kostrhun,
20,Pavel,Merinsky,
21,Jan,Suchy,
22,Alexis,Bejat,
23,Michel,Bourbier,
24,Benjamin,Cleyet Marrel,
25,Paul,Cuenot,
26,Adrien,De Sade,
27,Marc,Lhotellier,
28,Etienne,Mercier,
29,Clement,Seigeot,
30,Dieter,Ackermann,
31,Benjamin,Butz,
32,Sven,Goehler,
33,Pascal,Kreins,
34,Susanna,Obieglo,
35,Uwe,Schneider,
36,Bastian,Schwarz,
37,Gerhard,Weber,
38,Rita,Becz,
39,Szabolcs,Garab,
40,Eliav,Cohen,
41,Edoardo,Barbieri,
42,Federico,Pagni,
43,Ieva,Skele,
44,Kristine,Vevere,
45,Vytautas,Junevicius,
46,Ignas,Kazlauskas,
47,Vytas,Kerdokas,
48,Rokas,Kostiuškevičius,
49,Martynas,Lycius,
50,Arnas,Šostakas,
51,Laurynas,Žurauskas,
52,Christophe,Betzen,
53,Maximilian,Vormberge,
54,Roman,Bauta,
55,Denis,Dawidziuk,
56,Witold,Filus,
57,Arkadiusz,Iwanski,
58,Zbigniew,Jagodzik,
59,Przemyslaw,Moscicki,
60,Pawel,Sobol,
61,Juraj,Brezan,
63,Ricardo,Aracil,
64,Ivan,Ayala,
65,Blai,Carbonell,
66,Oscar,Portillo Feliu,
67,Andreas,Bergner,
68,Filip,Pettersson,
69,Marc,Blaser,
70,Thomas,Burkhalter,
71,Rene,Erni,
72,Cedric,Gauch,
73,Adrian,Oppliger,
74,David,Strasmann,
75,Iris,Broeders - Van Ham,
76,Roy,Gommer,
77,Jan,Oudenampsen,
78,Bert,Stuiver,
79,Cem,Daşdeler,
80,Üzeyir,Kardas,
81,Dominic,Bareford,
82,Daniel,Gregory,
83,Tom,Hook,
84,Kenneth,Karlstrom,
,,,

